Plate	Well	PreCursor	Gene_symbol	Gene_ID
3	B18			
3	B19			
3	B20			
3	B21			
3	B22			
3	B23			
3	B24			
3	C01			
3	C02			
3	C03	NM_002737	PRKCA	5578
3	C04	NM_032043	BRIP1	83990
3	C05	NM_003948	CDKL2	8999
3	C06	NM_001211	BUB1B	701
3	C07	NM_002005	FES	2242
3	C08	NM_004360	CDH1	999
3	C09	NM_006253	PRKAB1	5564
3	C10	NM_058195	CDKN2A	1029
3	C11	NM_052947	HAK	115701
3	C12	NM_058195	CDKN2A	1029
3	C13	NM_001798	CDK2	1017
3	C14	NM_145862	CHEK2	11200
3	C15	NM_030662	MAP2K2	5605
3	C16	NM_001300	COPEB	1316
3	C17	NM_002753	MAPK10	5602
3	C18	NM_001042355	CYLD	1540
3	C19	NM_001743	CALM2	805
3	C20	NM_000107	DDB2	1643
3	C21	NM_006488	KHK	3795
3	C22	NM_001429	EP300	2033
3	C23			
3	C24			
3	D01			
3	D02			
3	D03			
3	D04			
3	D05			
3	D06			
3	D07			
3	D08			
3	D09			
3	D10			
3	D11			
3	D12			
3	D13			
3	D14			
3	D15			
3	D16			
3	D17			
3	D18			
3	D19			
3	D20			
3	D21			
3	D22			
3	D23			
3	D24			
3	E01			
3	E02			
3	E03	NM_000858	GUK1	2987
3	E04	NM_000400	ERCC2	2068
3	E05	NM_001824	CKM	1158
3	E06	NM_000122	ERCC3	2071
3	E07	NM_003618	MAP4K3	8491
3	E08	NM_005236	ERCC4	2072
3	E09	NM_006904	PRKDC	5591
3	E10	NM_000123	ERCC5	2073
3	E11	NM_003913	PRPF4B	8899
3	E12	NM_000127	EXT1	2131
3	E13	NM_003831	RIOK3	8780
3	E14	NM_000401	EXT2	2132
3	E15	NM_033403	KIAA1765	85443
3	E16	NM_001018112	FANCA	2175
3	E17	NM_002685	EXOSC10	5394
3	E18	NM_000136	FANCC	2176
3	E19	NM_000291	PGK1	5230
3	E20	NM_001018115	FANCD2	2177
3	E21	NM_016282	AK3L1	50808
3	E22	NM_021922	FANCE	2178
3	E23			
3	E24			
3	F01			
3	F02			
3	F03			
3	F04			
3	F05			
3	F06			
3	F07			
3	F08			
3	F09			
3	F10			
3	F11			
3	F12			
3	F13			
3	F14			
3	F15			
3	F16			
3	F17			
3	F18			
3	F19			
3	F20			
3	F21			
3	F22			
3	F23			
3	F24			
3	G01			
3	G02			
3	G03	NM_004073	PLK3	1263
3	G04	NM_022725	FANCF	2188
3	G05	NM_001406	EFNB3	1949
3	G06	NM_004629	FANCG	2189
3	G07	NM_004443	EPHB3	2049
3	G08	NM_001013415	FBXW7	55294
3	G09	NM_002738	PRKCB1	5579
3	G10	NM_000143	FH	2271
3	G11	NM_003648	DGKD	8527
3	G12	NM_024529	HRPT2	79577
3	G13	NM_004444	EPHB4	2050
3	G14	NM_005359	SMAD4	4089
3	G15	NM_001040261	MGC45428	166614
3	G16	NM_003010	MAP2K4	6416
3	G17	NM_005198	CHKB	1120
3	G18	NM_130801	MEN1	4221
3	G19	NM_002736	PRKAR2B	5577
3	G20	NM_000249	MLH1	4292
3	G21	NM_004563	PCK2	5106
3	G22	NM_000251	MSH2	4436
3	G23			
3	G24			
3	H01			
3	H02			
3	H03			
3	H04			
3	H05			
3	H06			
3	H07			
3	H08			
3	H09			
3	H10			
3	H11			
3	H12			
3	H13			
3	H14			
3	H15			
3	H16			
3	H17			
3	H18			
3	H19			
3	H20			
3	H21			
3	H22			
3	H23			
3	H24			
3	I01			
3	I02			
3	I03	NM_020547	AMHR2	269
3	I04	NM_000179	MSH6	2956
3	I05	NM_022076	DUSP21	63904
3	I06	NM_001048174	MUTYH	4595
3	I07	NM_004936	CDKN2B	1030
3	I08	NM_002485	NBS1	4683
3	I09	NM_001098424	DLG1	1739
3	I10	NM_000267	NF1	4763
3	I11	NM_153710	C9ORF96	169436
3	I12	NM_181831	NF2	4771
3	I13	NM_002755	MAP2K1	5604
3	I14	NM_024675	FLJ21816	79728
3	I15	NM_002044	GALK2	2585
3	I16	NM_003924	PHOX2B	8929
3	I17	NM_001007792	NTRK1	4914
3	I18	NM_181504	PIK3R1	5295
3	I19	NM_005009	NME4	4833
3	I20	NM_000534	PMS1	5378
3	I21	NM_004333	BRAF	673
3	I22	NM_000535	PMS2	5395
3	I23			
3	I24			
3	J01			
3	J02			
3	J03			
3	J04			
3	J05			
3	J06			
3	J07			
3	J08			
3	J09			
3	J10			
3	J11			
3	J12			
3	J13			
3	J14			
3	J15			
3	J16			
3	J17			
3	J18			
3	J19			
3	J20			
3	J21			
3	J22			
3	J23			
3	J24			
3	K01			
3	K02			
3	K03	NM_015148	PASK	23178
3	K04	NM_001083605	PTCH	5727
3	K05	NM_004507	HUS1	3364
3	K06	NM_000314	PTEN	5728
3	K07	NM_012290	TLK1	9874
3	K08	NM_000321	RB1	5925
3	K09	NM_000289	PFKM	5213
3	K10	NM_004260	RECQL4	9401
3	K11	NM_006252	PRKAA2	5563
3	K12	NM_016038	SBDS	51119
3	K13	NM_002221	ITPKB	3707
3	K14	NM_003000	SDHB	6390
3	K15	NM_001932	MPP3	4356
3	K16	NM_001035511	SDHC	6391
3	K17	NM_001258	CDK3	1018
3	K18	NM_003002	SDHD	6392
3	K19	NM_031268	PDPK1	5170
3	K20	NM_001007468	SMARCB1	6598
3	K21	NM_153336	C10ORF89	118672
3	K22	NM_003745	SOCS1	8651
3	K23			
3	K24			
3	L01			
3	L02			
3	L03			
3	L04			
3	L05			
3	L06			
3	L07			
3	L08			
3	L09			
3	L10			
3	L11			
3	L12			
3	L13			
3	L14			
3	L15			
3	L16			
3	L17			
3	L18			
3	L19			
3	L20			
3	L21			
3	L22			
3	L23			
3	L24			
3	M01			
3	M02			
3	M03	NM_004438	EPHA4	2043
3	M04	NM_000455	STK11	6794
3	M05	NM_004734	DCAMKL1	9201
3	M06	NM_016169	SUFU	51684
3	M07	NM_033214	GK2	2712
3	M08	NM_000545	TCF1	6927
3	M09	NM_033276	KUB3	91419
3	M10	NM_152876	FAS	355
3	M11	NM_017672	TRPM7	54822
3	M12	NM_000546	TP53	7157
3	M13	NM_053031	MYLK	4638
3	M14	NM_001008567	TSC1	7248
3	M15	NM_001522	GUCY2F	2986
3	M16	NM_001077183	TSC2	7249
3	M17	NM_002093	GSK3B	2932
3	M18	NM_000551	VHL	7428
3	M19	NM_002447	MST1R	4486
3	M20	NM_000553	WRN	7486
3	M21	NM_001625	AK2	204
3	M22	NM_000378	WT1	7490
3	M23			
3	M24			
3	N01			
3	N02			
3	N03			
3	N04			
3	N05			
3	N06			
3	N07			
3	N08			
3	N09			
3	N10			
3	N11			
3	N12			
3	N13			
3	N14			
3	N15			
3	N16			
3	N17			
3	N18			
3	N19			
3	N20			
3	N21			
3	N22			
3	N23			
3	N24			
3	O01			
3	O02			
3	O03	NM_133494	NEK7	140609
3	O04	NM_152424	FLJ39827	139285
3	O05	NM_018979	PRKWNK1	65125
3	O06	NM_000380	XPA	7507
3	O07	NM_021733	TSKS	60385
3	O08	NM_004628	XPC	7508
3	O09	NM_004197	STK19	8859
3	O10	NM_002734	PRKAR1A	5573
3	O11	NM_002969	MAPK12	6300
3	O12			
3	O13	NM_000154	GALK1	2584
3	O14			
3	O15	NM_152230	IPMK	253430
3	O16			
3	O17	NM_018216	PANK4	55229
3	O18			
3	O19	NM_002732	PRKACG	5568
3	O20			
3	O21	NM_002019	FLT1	2321
3	O22			
3	O23			
3	O24			
3	P01			
3	P02			
3	P03			
3	P04			
3	P05			
3	P06			
3	P07			
3	P08			
3	P09			
3	P10			
3	P11			
3	P12			
3	P13			
3	P14			
3	P15			
3	P16			
3	P17			
3	P18			
3	P19			
3	P20			
3	P21			
3	P22			
3	P23			
3	P24			
